nombre,grupo
Consultorías científico-tecnológicas,ASC Y DIV
Documento de trabajo (Working Paper),ASC Y DIV
Ediciones,ASC Y DIV
Empresas de base tecnológica,ASC Y DIV
Espacios de participación ciudadana,ASC Y DIV
Estrategias de comunicación del conocimiento,ASC Y DIV
Estrategias pedagógicas para el fomento a la CTI,ASC Y DIV
Eventos artísticos,ASC Y DIV
Eventos científicos,ASC Y DIV
Generación de contenido impreso,ASC Y DIV
Generación de contenido multimedia,ASC Y DIV
Generación de contenido virtual,ASC Y DIV
Informes de investigación,ASC Y DIV
Informes técnicos,ASC Y DIV
Otra publicación divulgativa,ASC Y DIV
Otros articulos publicados,ASC Y DIV
Otros capítulos de libro,ASC Y DIV
Otros libros publicados,ASC Y DIV
Participación ciudadana en proyectos de CTI,ASC Y DIV
Redes de conocimiento especializado,ASC Y DIV
Talleres de creación,ASC Y DIV
Conceptos técnicos,DTI
Diseños industriales,DTI
Innovaciones en procesos y procedimientos,DTI
Innovaciones generadas en la gestión empresarial,DTI
Plantas piloto,DTI
Prototipos,DTI
Reglamentos técnicos,DTI
Regulaciones y normas,DTI
Signos distintivos,DTI
Softwares,DTI
Asesorías al Programa Ondas,FRH
Proyectos,FRH
Trabajos dirigidos / Tutorías,FRH
Artículos publicados - Corto (Resumen),NC
Artículos publicados - Revisión (Survey),NC
Artículos publicados en revista especializada,NC
Capítulos de libro,NC
Libros resultado de investigación,NC
Libros publicados,NC
Capítulos de libros publicados,NC
Traducciones,NC
